"TOKEN";"REFTEXT"
"KOTGVLXXXA";"VKK 343"
"KOTSRDCECH";"5-322. KDBr"
"KOXFNHRRAA";"MOR. T-55AMD"
"KOXIOKCLGB";"#SOV 126-ya IAD"
"KPAGLCOKAB";"#RECO1 M47E1"
"KPFYUVRPFC";"2A44M"
"KPGQMCYMEA";"500kg"
"KPIUJCZXAU";"1-40-y Tank. Polk"
"KPIWTPJTQC";"Dual Auto. Gun M2A1"
"KPIYYDOQRW";"T-80U"
"KPNPIEVLAN";"B-11"
"KPOUTNSRHS";"REZ. T-55A Obr. 81"
"KPRYQZDZFR";"Token inexistant ZNAEKUOZJA dans SERIOUS_Localisation_Unites"
"KPUXBWAJTX";"M106A2 MORTAR"
"KPWYKYNDQE";"29-y Gv. Otd. Tank. Bat."
"KPZSAHTPJF";"Su-25 [CLU]"
"KQBFQIXBET";"#RECO2 MOT. RAZVEDKA"
"KQEADAIQYT";"6e RPIMa"
"KQGAEIXIXS";"SPzA1GrW"
"KQKMMFWNQU";"#UK RAF Germany"
"KQOVHTZKOW";"RAPIER FSB1"
"KQPZVAMOSB";"T-55AM1"
"KQVYAGWBOM";"2K11M3 KRUG-M3"
"KQYZKDFEAI";"The standard weapon for a large number of frontline soldiers, the battle rifle is effective against enemy troops at intermediate ranges.\nHeavy and powerful, battle rifles are very accurate and deadly when the shooter is immobile, but quite less than an assault rifle on the move, especially since it uses smaller magazines. Most assault rifles can be modified with accessories such as scopes, foregrips, night vision devices, or single-shot grenade launchers."
"KRBMMTXMSV";"#BEL  4de Pantserinfanteriebrigade"
"KRBWTBBVGP";"2. PZ.GRENADIER-DIVISION"
"KRCKEAMREZ";"2nd Royal Tank Rgt."
"KRCVPGSXQO";"#RECO2 M113 C&V"
"KRCZUTJZCH";"SUPER ETENDARD [RKT]"
"KRHQKWSGTE";"Zuni"
"KRJNTTLGMS";"#CZ 62. Motostřelecký Pluk"
"KRLTBROZGB";"#UK RAF Gutersloh"
"KRMQACEQWU";"M47 Dragon II"
"KRNSXMWFGU";"2-2. TP"
"KRSRLZGTNZ";"1-MSR. 27"
"KRUVTRGPZB";"#CMD T-55AK"
"KRZRTKIYCQ";"1er RCP"
"KSHAFTNVXM";"BEUTE BOFORS 40mm"
"KSIDGPOJGU";"M113A1"
"KSIPPUIXTO";"Command Unit"
"KSLAXRNYVF";"AIM-9J"
"KSPCZPGKBI";"S-5M"
"KSRGGCFJBW";"T-54"
"KSTUFLZHIQ";"1-23. TP"
"KSUDSSLQCU";"PANTSERINFANTERIE"
"KSUIYDGYUU";"Uzi"
"KSUUVGHFMK";"1-248-y Gv. MSP"
"KSYQVHFUAA";"M1919A4"
"KSZPNJSSXP";"#RECO2 M3A2 BRADLEY CFV"
"KTAZXALKHH";"AIRMOBILE GUN GROUP"
"KTEGDBCQIK";"#RECO1 M1025 HUMVEE AGL"
"KTESEXBNFI";"NONA-K 120mm"
"KTHSXAJKJB";"KANJPZ"
"KTHUSVYMGO";"Groep Volkel"
"KTJBNXHKDD";"KPz. T-72S"
"KTJQWSURVZ";"M67 RCL"
"KTKDDVJRTT";"II./MSR. 15"
"KTNKISBSCQ";"PJR-5"
"KTPEOYOPCW";"MiG-31 [AA1]"
"KTRZJRRNEX";"PzArtillerie-Bat. 315"
"KTTKVVCDXM";"HEMTT"
"KTUHRZWOLG";"ZÁSOBOVACÍ Mi-17"
"KUAJNYEVQX";"VBK 46"
"KUDNPIVCPK";"#RECO1 M998 HUMVEE DELTA"
"KUIVHYSQWY";"LEGION. AANF1 7,62mm"
"KUOCPCWNSN";"43 Tkbat"
"KUPNLKSDNF";"2A46M"
"KUVMTBLUQR";"2-333-y MSP"
"KUWJHMBETM";"ALOUETTE III"
"KUWXXROMAG";"9,/115-y otd. Tank. Polk"
"KUXCMHZMUQ";"M274 MULE M40A1"
"KVCRNXRUYX";"#DDR 15. Mot.-Schützen-Rgt."
"KVEFRNSQHD";"MARECHAUSSEE"
"KVGMHGQZZN";"VÝS. PTŘS KONKURS"
"KVHNAXSIMR";"Dépôt de munition"
"KVHOSBOOSB";"Fla-SFL 57-2"
"KVIAOIHGOR";"T-55AM1"
"KVNSJHHNXS";"1er RHP"
"KVOMNGVYBX";"Support"
"KVQUPJOSEC";"FALLSCHIRMJÄGER (s.MG)"
"KVSOJFWWIX";"DShK 12,7mm"
"KVUOQYFUHG";"#RECO2 Mi-17Z2"
"KWAHZIIXXB";"Colt Commando"
"KWAPMSIDUY";"2 Dywizja Zmechanizowana"
"KWAQKZNMHE";"#CZ 49. Motostřelecký Pluk"
"KWCNZLCAPK";"2-168-y Gv. MSP"
"KWCWNKZABJ";"2-23-y Tank. Polk"
"KWEBROLPJF";"#CMD UAZ-469 FÜH."
"KWEWJULSTS";"#US 52nd Tac. Fighter Wing"
"KWIKOKSMNR";"#SOV 62-y Gv. Tank. Polk"
"KWJJLLZWFA";"VKK 441"
"KWLTZNNHAX";"2. PPR"
"KWNNMVMWCB";"CN 90 F2"
"KWNQZUGBQF";"MT-LB SHTURM-S"
"KWRXJSXCKM";"N.G. M151AC"
"KWTGUJRZZY";"M108A2"
"KWVHIMWGGV";"Aviation Brigade-3rd Inf. Div."
"KWXHUTVEXQ";"43 Afdva"
"KXDHOZGFIO";"41st Field Art. Group"
"KXGSXHYAAS";"7 Brygada Desantowa"
"KXHIZHGWTZ";"VKK 244"
"KXNZLCFFRB";"BERLIET GBU 15 LOG."
"KXOXVIWQIN";"MG-51"
"KXQSLZFLTG";"MK 20 Rh 202"
"KXRZMQLLCT";"HA.15 HOT"
"KXTKJESTAI";"GUARDS MILAN 2"
"KXTZRUTTSV";"M113 I-TOW"
"KXWEWFISWW";"VAB MILAN"
"KXWWKRHFBT";"3. Div. Protivzdušné Obrany"
"KYBIRLYMVI";"MILAN"
"KYCNUDEELL";"#RFA Panzerbrigade 24"
"KYDAIYGNGN";"17 br"
"KYEYSJEXZU";"PPS-43"
"KYGQUPOQYP";"GSh-30k"
"KYHVVCIZFD";"ALPHA JET A [CLU]"
"KYJKTYFCQX";"1-5th Field Art."
"KYKZWRLYZF";"3-67-y Gv. Tank. Polk"
"KYMFWGQTOF";"EM-6e DBL"
"KYOHKMIETZ";"MiG-27M [AT]"
"KYTFAVKRTT";"MAZ-535A SNAB."
"KYTIZGYYAM";"18-y otd. Tank. Bat."
"KYVJDSCQVK";"YP-408 PWAT"
"KYVWBRWGQM";"4. Pz.Gren.-Division"
"KYXBFABXDK";"#DDR 35. Mot.-Schützen-Rgt."
"KYYISZASWO";"MILAN 2"
"KYYOSWVIUQ";"M2A1-7"
"KYZQUSUOHU";"GAZ-66B"
"KZBUILSZHF";"M115"
"KZDMYSAHFH";"#DDR 7. Mot.-Schützen-Rgt."
"KZMOVVRNXG";"1-10. TP"
"KZQJKXKBFL";"1st Infantry Division (Mech.)"
"KZRKHUXCIE";"#RECO2 ECUREUIL"
"KZTHLSWJJM";"MARECHAUSSEE (MG)"
"KZUITWWMOQ";"AH-64A APACHE ATAS"
"KZWPUINYDR";"MIM-72A"
"KZZEPXYRLR";"130-JRROF"
"KZZRMASWOR";"ILTIS"
"L6";"PANZER L6(i)"
"LAAJKFQNTH";"#CMD UH-1H (cmd)"
"LADKNTTNZK";"Rügener Gruppierung"
"LAEBTYWIRI";"#RFA 2. Artillerie-Regiment"
"LAEXCHETPJ";"TANK GUN"
"LAFILSKGDX";"3rd Air Force"
"LAHISNLADK";"1-35-ya Gv. DShB"
"LAKMTFYLPJ";"49 Tkbat"
"LATRKFMFLO";"L96A1"
"LAW";"LAW"
"LAWZUBIGZP";"#CMD M60A1 RISE CP"
"LBALNAIYHV";"1-27 pcz"
"LBBIKKBUZY";"GIAT M621"
"LBCAKTMZWN";"#SOV 74-y Gv. Tank. Polk"
"LBEPNDBERN";"STRZAŁA-10M"
"LBEWNOLXDY";"Sicherungs-Bat. 300"
"LBFRPMYQQL";"125-ya ADIB"
"LBIAKWVUQN";"ODAB-500PM"
"LBIZMUTYTI";"III./AR-3"
"LBRGMDXMTK";"152E INF. OFFICIAL BATTLEGROUP"
"LBUBZEGAWB";"1-99-y Art. Polk"
"LBVAOGGKGM";"GEBIRGSJÄGER "
"LBYPCBKEEF";"2-41st Infantry Rgt."
"LBYWMYYLHY";"MIM-23B I-Hawk"
"LCBHEWIPFC";"D-921"
"LCETMLEPEQ";"M9 81mm"
"LCHDBBKNHO";"#SOV 174-y Gv. MSP"
"LCPZKGJGUW";"#RECO1  PRŮZ. BVP-1P"
"LCSUUKZQKE";"9M27K"
"LCVRURPXLV";"4TH ARMOURED DIVISION"
"LDBYFEANQP";"PARA. MO-120-RT61"
"LDEJUUYYXC";"Su-24M [TRM]"
"LDJNOWOJCO";"M39/55 40mm"
"LDOYLKXTCY";"Carl Gustav (HE)"
"LDQIHFEARY";"M548A2"
"LDQWVTICQH";"BTR-40"
"LDXBGECPXP";"UK Vz.59L"
"LEHYGCGEWJ";"M38A1 KMAR"
"LEUALDHBIO";"#CZ 20. Tankový Pluk"
"LEXPFXWCKS";"27 Field Rgt. RA"
"LFCUBIOZDJ";"A tank gun is a large-caliber, high-velocity gun capable of firing various projectiles against a variety of targets.\nA tank gun is the primary means of engaging other tanks or armored vehicles with direct fire. Featuring different calibers, between 90mm to 125mm, a tank gun is often emplaced in a turret, creating a flexible yet hard-hitting weapon. When assisted by advanced targeting computers and sights, a tank gun can engage almost any kind of unit, even airborne targets, regardless of the weather or time of day. A tank gun fires off a variety of different shells, at times supported by an autoloader, including armor-piercing kinetic (AP), armor-piercing, fin-stabilized, discarding sabot (APFSDS), high-explosive (HE), or high-explosive anti-tank (HEAT). Some guns can even fire specially adapted guided missiles. "
"LFFRUDEPOA";"CROTALE"
"LFHSIKJSJW";"M167A2 VADS 20mm"
"LFKWBHPQUM";"#CZ 23. Tankový Pluk"
"LFQVZCMYRQ";"Colt MK.12"
"LFRESGQBYN";"3-23-y Tank. Polk"
"LFSBXJGIIH";"DESANT. STRZAŁA-2M"
"LFTDJTUPEQ";"FV432 CARGO"
"LFTMXLLGPG";"M270 MLRS [CLU]"
"LFVGHUHNID";"RES. C5 7,62mm"
"LFXGTYZECF";"RMP"
"LFZHQLAQMJ";"MILAN 1"
"LGBFOFIVUG";"BRP-250"
"LGFNPDZXHN";"#RECO2 SNAJPER"
"LGGHXHQIIO";"STRZAŁA-1M"
"LGHRMUGASZ";"3-56-y Gv. Tank. Polk"
"LGPZCVIJHH";"AKMS"
"LGVADKMAFW";"4de Pantserinfanteriebrigade"
"LGWINFFBYT";"359-y Zen. Art. Polk"
"LGXKUKMQZI";"2-361. DP"
"LGXXXGDGND";"1-MSR. 30"
"LGYLAFMITB";"2A46M"
"LHDUNFGAMF";"SSG 69"
"LHFHIPABSK";"A RECOILLESS RIFLE is a shoulder-fired or crew served weapon designed to provide fire-support. It can engage armored targets or infantry.\nThese launchers fire an unguided rocket-propelled anti-tank projectile, giving the regular combat soldier an efficient, portable weapon to neutralize enemy tanks or infantry. They are short-range weapons, best used in ambushes or from cover such as buildings or forests. "
"LHMWFGSHDG";"35TH INFANTRY DIVISION (MECH.)"
"LHPBTFDAKU";"M167A1 VADS 20mm"
"LHQVKLYQMP";"ATMP CARGO"
"LHUJIGGYPU";"47e Rgt. d'Artillerie"
"LHVSJZHVKL";"1018-y Zen. Rak. Polk"
"LHYBEXTSJJ";"MiG-23MF [AA2]"
"LIBHYUCBUT";"CUCV BLOWPIPE"
"LIGCVZACRU";"HOT-2"
"LIHSWXIYHD";"3-MSR. 32"
"LIKJRVDBAH";"S-53"
"LITZYELOZO";"68e Rgt. d'Artillerie"
"LIUALNUVUI";"III./MSR. 43"
"LIVBJGHHPP";"9. PPR"
"LIVVDIWKZA";"Panzer-Bat. 293"
"LJAWTIMGTT";"#RECO2 DRAGON-PARAS"
"LJGIAEMRAW";"1er Lanciers"
"LJIYEHNXPY";"Fire Direction"
"LJJILIUDKJ";"2A46M-1"
"LJKNBGOPER";"#BEL  10de Pantserinfanteriebrigade"
"LJLRMOKVWE";"2-61 brop"
"LJNDERYOOX";"#CZ 3. Motostřelecký Pluk"
"LJNSCKCDVM";"2. PZ.GRENADIER-DIVISION"
"LJQSECQXEO";"Su-22M4 [CLU]"
"LJULKDGGNU";"AMX-13 T75/TCM"
"LKCAQEFJUG";"3. div. protivzdušné obrany"
"LKDWCYXKQU";"PtK vz.52 85mm"
"LKKJEHNIPC";"Stinger Basic"
"LKMPJQDZEE";"PzArtillerie-Bat. 195"
"LKNAYFWPRE";"#RECO2 CEWI"
"LKRFOJTFXI";"Swingfire"
"LKSVNPCUYG";"5. PANZERDIVISION"
"LKTTCDMLTD";"BRDM-2 MALYUTKA-P"
"LKUNZSBLRT";"LEOPARD 1A5"
"LKUQSGAFBY";"#NL 5e Divisie"
"LKVSPWXOOL";"#RECO2 MECH. RECCE"
"LKYEGZULPA";"BEZPEČNOSTNÍ ODDÍL"
"LKYVXDGXQK";"FLAK KS-19M2 100mm"
"LLCCBNTLNV";"Su-22M4 [NPLM2]"
"LLCZHFTAWM";"VAB LEGION"
"LLDHOGFRHC";"M68A1"
"LLFLZRYZSZ";"2A36"
"LLGCIKVZTT";"#CMD PARA. ILTIS PC"
"LLGXRUJIAE";"LIDOVÁ MILICE"
"LLHXJTEQMJ";"TOW 2"
"LLJDPCKOEU";"M185 Copperhead"
"LLJTIGXVOR";"BAW-485 ZAOP."
"LLJYYLEZZW";"PANCÉŘOVNÍCI"
"LLKCNOHVFK";"#RECO2 OA-37B"
"LLQFPSYMBI";"MILAN 2"
"LLSEHADYLZ";"Kom./31-ya Tank. Div."
"LLWIGWLQMK";"1-243-y Gv. MSP"
"LLYQGMIEFE";"I-HAWK"
"LLZKCFRTSC";"M48A5E"
"LMBUNGDARI";"GLH-L"
"LMNRNCMIRZ";"AMX-13 Mod.56 VCI"
"LMORWMWLYW";"KS-19"
"LMOSBLXSPY";"CN 90 F3"
"LMQAYMYAIP";"PRÉVÔTÉ"
"LMQZTUEIJH";"GAU-19"
"LMXEXFRVYJ";"2 DYWIZJA ZMECH."
"LNDXVAXWCM";"COUGAR"
"LNIDIFADBK";"I-TOW"
"LNRMKLMSOR";"#CMD MOTOSTRELKI KOM."
"LNTVEUSIYQ";"7. Dělostřelecká Divize"
"LNVMZGJMQZ";"AB M2HB 12,7mm"
"LNXOPMIBHC";"35TH INFANTRY DIVISION (MECH.)"
"LNYJHHJEKL";"AERO-STINGER"
"LNYXJEFJJI";"MiG-21bis [AA3]"
"LOBUPHFUFR";"#US  1st Armored Div."
"LOBZRRXTGX";"Aufk.-Bataillon 20"
"LOCHSGKRAZ";"BAW-485 ZAOP."
"LOERRRHLMS";"SEACAT"
"LOHXWYDELW";"GROUPE ANTICHAR"
"LOIHDSURXI";"#SOV 33-y MSP"
"LOMLCUWDBG";"#RECO2 RT RAZVEDKA"
"LORHCUYOZA";"4-Air Defence Rgt."
"LPCRPUZJTW";"76-VOD.DESANT OFFICIAL BATTLEGROUP"
"LPCSNURGQE";"D-1"
"LPHMABSSHM";"M39A2 x2"
"LPJKGNZQCN";"#CMD VELITEL L.M."
"LPNADBRMOS";"BOFORS 40L70G"
"LPNDCYUZOM";"A tank gun is a large-caliber, high-velocity gun capable of firing various projectiles against a variety of targets.\nA tank gun is the primary means of engaging other tanks or armored vehicles with direct fire. Featuring different calibers, between 90mm to 125mm, a tank gun is often emplaced in a turret, creating a flexible yet hard-hitting weapon. When assisted by advanced targeting computers and sights, a tank gun can engage almost any kind of unit, even airborne targets, regardless of the weather or time of day. A tank gun fires off a variety of different shells, at times supported by an autoloader, including armor-piercing kinetic (AP), armor-piercing, fin-stabilized, discarding sabot (APFSDS), high-explosive (HE), or high-explosive anti-tank (HEAT). Some guns can even fire specially adapted guided missiles. "
"LPPYALYINX";"UH-1H HUEY"
"LPQQTFPAPZ";"#CMD T-72AK Obr. 81"
"LPUBQMILBV";"5E DIV.BLD. OFFICIAL BATTLEGROUP"
"LPUMMSQVPE";"81th Tac. Fighter Wing."
"LQBLNSHSNU";"SEA KING Mk.41"
"LQBTRUSZSA";"17-YA GV. TANK. DIV."
"LQDHGMNZXG";"#SOV 23-y Tank. Polk"
"LQDUDWKVCG";"#RECO1 P4 ANF1"
"LQGKZXOROL";"VKK 411"
"LQIINZIIER";"HQ-2nd Armored Div."
"LQLCGKARXU";"Eryx"
"LQLXLXTWFG";"Vz.52/57"
"LQMVDIGKQT";"2e Corps d'Armée"
"LQNLSMJLLG";"M39A2 x2"
"LQOOHVKRWH";"SOUTHAG"
"LQQAOEURIR";"6E DIVISION BLINDEE LEGERE"
"LQRSLESTRI";"DD-20 DPanc"
"LQTLSDQADI";"MOT.-SCHÜTZEN (SVD)"
"LQVYBFSVZE";"Vz. 53/59"
"LQWISTOXNN";"Jäger-Bat. 76"
"LQZLOXHLVA";"Panzer-Bat. 214"
"LRDJIMHJQV";"CN-105 F1"
"LRECILADAR";"T-72A Obr. 83"
"LREFGSIVGL";"F-16A [AA]"
"LRELUYUNRY";"57th Gv. MSD"
"LRGZRRMACZ";"R440"
"LRLJNDAMFZ";"1-PR-23"
"LROPAXEIMZ";"SBAT-70"
"LRPKMXHFZZ";"K31"
"LRRWPTQZBY";"75 SA 50"
"LRSDBIVKLA";"CH-135"
"LRSLYTTWOK";"ALOUETTE II"
"LRUHZJFJJJ";"MG m/62"
"LRVWFVHRGT";"FR-F2"
"LRXKIBEEGO";"Mi-8TV"
"LRXYSOHZQY";"#RECO2 DRAGON-PARAS"
"LRZKHPRLZY";"3-32 pz"
"LSBHESYHAT";"1-GV.MTSK. OFFICIAL BATTLEGROUP"
"LSDYSMTSPX";"AMX AuF1"
"LSENEJJAKZ";"RBS-70"
"LSFBBYAKHK";"MOT.-SCHÜTZEN (BTR)"
"LSHCZPRPRM";"Mk19"
"LSMFGCQSLK";"NR-23 x2"
"LSQABMOMSH";"BME-330 C"
"LSXHWRLFEM";"#CMD FÜPZ. T-55AK"
"LTIFSDKDWE";"#RECO2 OA-37B"
"LTIKIIGCJT";"Staf-1 Divisie"
"LTJDNZCNAJ";"Pz.Gren.-Bat. 562"
"LTMLXRICID";"71. Heimatschutz-Rgt."
"LTMSGGNHXC";"Jäger-Bat. 942"
"LTMWHXRDRX";"ROCKET"
"LTOSDDBZWM";"ALPINI S.R.L."
"LTVACTPYTA";"#CMD MARINES LEADER"
"LTYWCCNKOO";"SMAW (HE)"
"LTYZKNZXPH";"Jäger-Bat. 116"
"LTZJAIZTVM";"M-24F"
"LUBWDWKLMU";"#SOV  302-y Gv. MSP"
"LUDUXRFARW";"LIGHT RIFLES (VIPER)"
"LUENBLPRLE";"#RECO2 DESANT. ROZP. SPECJALNE"
"LUJMNCAPAE";"#CZ 60. Tankový Pluk"
"LUJRXXZSKV";"#DDR 9. Mot.-Schützen-Rgt."
"LUTZYFMOCX";"BTR-70 S-8"
"LUVISVRXZX";"#CMD CMDT SAPEURS"
"LVAQSWFNMM";"#RECO2 DESANT. RAZVEDKA"
"LVHDNFYIJK";"DEFA 30 x2"
"LVHIBNMOIL";"Half-sized infantry squad. A reduced complement numbering 5-6 soldiers."
"LVIQEPHCNT";"Heeresflieger-Rgt. 30"
"LVJEMGXZHY";"511th Tac. Fighter Sq."
"LVODICYNEO";"7e RHC"
"LVPUSECPON";"MiG-29 [AA3]"
"LVQOSNYLLT";"M47 Dragon II"
"LVROHPZDWF";"FN 4RM/62F MiMo"
"LVRVRIQTYN";"II./Artillerie-Brigade 40"
"LVWKCUVUCY";"12 Afdva"
"LVXBGFWAFW";"#CMD PARA. CMDT"
"LWBHQYSFCZ";"Airlifter"
"LWEHDVGSTR";"PzArtillerie-Bat. 85"
"LWEOQFYNJT";"VÝS. M vz.52 82 mm"
"LWIDGHSNTA";"#CZ 5. Motostřelecký Pluk"
"LWIZSBUYSH";"#CMD LEOPARD 1V CMG"
"LWKRUWGQFF";"RPG-18"
"LWLWHLSINA";"III,/AR-9"
"LWSGIHWDIN";"M168A2 Vulcan"
"LWSVXPXFJO";"OKHRANA"
"LWUHGAYLXM";"L2A3"
"LXGBGYDETH";"#CMD PT-76B"
"LXHBLLQUDL";"Special Forces units take less suppression in combat and deal more damage - on top of the Elite veterancy level."
"LXMNTKXFVH";"CETME L"
"LXNFRYRRJZ";"4 DIVISIE OFFICIAL BATTLEGROUP"
"LXSSGVFCZV";"2-29th Field Artillery Rgt."
"LXTYDFQNLM";"Mi-8T"
"LXTZFGKIYF";"1. Gebirgsdivision"
"LXVLEXAVFE";"A-6E INTRUDER"
"LXXABYEKYH";"HR.15"
"LXYCRHUCWB";"MAG"
"LXZCDGRBWL";"#TCH 1. Stíhací Letecká Divize"
"LYCBSYTNGC";"NF-5A [HE]"
"LYLIYNBWBN";"Fagot-M"
"LYLYZPUPVJ";"18 pułk czołgów"
"LYQBFIGOSX";"SPW-50PK(MRF)"
"LYRUEPXYZL";"JAGUAR GR.1 [HE2]"
"LYTILFQSZB";"MECH. FUSILEROS (AT-4)"
"LYTQXPNMTG";"79-YA GV. TANK. DIV."
"LYXCGEVYQW";"#RECO1 AML-60 GENDARM."
"LYXVWRMRNP";"1-361. DP"
"LYXWYFSTZY";"LAG-40 40mm"
"LZAICFEGHQ";"49th Field Artillery Rgt."
"LZCGDFYKKW";"#CMD PZ.BEF. M48A2GA2"
"LZDHOYDQRX";"#SOV 308-ya Artilleri. Brigada"
"LZDKZXGYXZ";"UNIMOG U1300L LOG."
"LZFIGCSZHX";"III./AR-7"
"LZHXNSTRTU";"VW T3 FELDJÄGER"
"LZMAHPAKHC";"Unguided air-to-ground rockets are fired from aircraft and helicopters at ground targets.\nA common weapon, rockets normally lack an active guidance system, separating them from missiles. A simple and easy-to-use weapon - though not very accurate - rockets are convenient in a short-range or area saturation role. Carrying various types of warheads, rockets are frequently fired from rocket pods in devastating salvoes. "
"LZPGDIZNNG";"Fallschirm-Bat. 264"
"LZSKMVVCOD";"12,7&7,62mm"
"LZTJKYFJFO";"TOW 2"
"LZWNZTHEHP";"BM-30 SMERCH"
"LZXRDJAFJA";"2A44"
"LZYGQHYRNX";"#DDR 16. Panzer-Rgt."
"LZZCUILBCY";"A small, hand-held explosive that can be thrown by an individual soldier.\nGrenades can be encountered in many shapes and sizes, including fragmentation anti-personal, smoke grenades, gas, or even anti-tank grenades. As extremely close-range weapons, they are used in various combat situations, including clearing houses or bunkers, thrown into vehicles, or as boobytraps. Due to proximity and sometimes large blast radius, grenades are often equally dangerous to the user as to the enemy. "
"M2Brown_T";"M2 Browning - Turret"
"M47Dragon";"M47 Dragon"
"MAANDIVXNX";"#CMD MOT. AIRMOBILE LDR."
"MAAXUCNLIR";"1-2. TP"
"MABHAADXIE";"ZAPADORES"
"MACMQXHVSR";"#RFA  31. Panzergrenadier-Brigade"
"MAGHLFUQBV";"TERRITORIALKOMMANDO SÜD"
"MAGYTURMQV";"#UK  4th Armoured Brigade"
"MAHZBLGALV";"Mi-17 [RKT]"
"MANOOAHTHL";"MP5A3"
"MAQAFALXCP";"#RECO1 BRDM-1"
"MATOURVBOJ";"AIM-9B"
"MAXIVWGAZW";"ZB-500"
"MAYDELVTSW";"REZ. OKHRANA"
"MBBLKCSHOY";"#CZ 4. Tanková Divize"
"MBETMUGGMY";"ZÁSOBOVACÍ BAV-485"
"MBHCRDRPBC";"#RECO2 M1041 FAV TOW-2"
"MBIZZPTSGO";"Fs-PALR FAGOT"
"MBOSKBWXFA";"BTR-80"
"MBOTYTYYUU";"Aufklärungs-Bat. 10"
"MBPZZMIUQY";"FALLSCHIRMPIONIER"
"MBQQCLZZPQ";"RPG-75"
"MBT";"Multiple Rocket Launcher Vehicle"
"MBTVXGPVKN";"RANGERS"
"MBXMVSZXHA";"CN-105 F1"
"MBXOQXDBPE";"2. PLRP"
"MBXYDRGMCS";"2-2nd Arm. Cavalry Rgt."
"MBYBCTBNVY";"MOTOSTŘELCI"
"MBYGVCKLPO";"83mm"
"MBZSYIIVKN";"Pz.Gren.-Lehr-Bat. 92"
"MCAGTUSFYL";"GATLING"
"MCAJJKOVRM";"2 gb 100 pz"
"MCCKZBSDGI";"Velitelství a štáb 4. TD"
"MCCRCEHFWN";"#RECO2 CL-89"
"MCDAJDQJZS";"MP-40"
"MCFRWYNNLR";"Raketenartillerielehr-Bat. 122"
"MCHROWGHUD";"T-8M"
"MCHUPCOTHR";"GAZELLE CELTIC"
"MCICPGSBZB";"SV 1891/30 PU Mosin"
"MCISVQOCYI";"M1 Carbine"
"MCLTGNPRGG";"2-JagdG 74"
"MCLXLYEQWE";"#CZ 9. Tanková Divize"
"MCMJWIGLPU";"Mi-6A ZAOP."
"MCMLICZCQT";"1-44-y Gv. Tank. Polk"
"MCOWHZVUJT";"M101"
"MCRJETTTTB";"T-72A Obr. 81"
"MDCAIFALFD";"Test_Unit"
"MDCVMQRRRA";"M1 81mm"
"MDEHBBQZIB";"Jäger-Bat. 16"
"MDJVFZWLBF";"F-104G [AA]"
"MDKAYMXNLJ";"#RECO3 BWR-1D"
"MDMUZCOQJY";"15th/19th KRH"
"MDMYTKNBVP";"#CMD PARA. ENGINEERS LDR."
"MDRMTOLKGM";"Jäger-Bat. 47"
"MDSZNFNWIU";"FV438 SWINGFIRE"
"MDTWMPNMYH";"1075-y Zen. Rak. Polk"
"MDVQMWBOBC";"T-55A"
"MEFJREEEDU";"#UK  2nd Infantry Div."
"MEGNWNUURX";"247mm"
"MEITBYLAKO";"Luftwaffe"
"MEMWEKOWXV";"M45"
"MEMWTODRGA";"#CZ 1. Armáda ČSLA"
"MENVASJCTK";"3-8 Bah"
"MESIJBBFOO";"#CMD BO-105M FÜH."
"MEUTKUPSBN";"1-174-y Gv. MSP"
"MFBRYUDOGS";"Escadre de Chasse 3"
"MFDMGVDDXP";"PARAS"
"MFGOSVJQOC";" Feldführung 5. Armee"
"MFIGBHSTVT";"172-y otd. Vertolotnyy Polk"
"MFIMVFYCTX";"#SOV 245y Gv. MSP"
"MFJFLIMMKD";"KULOMETČÍCI"
"MFJZNDDGRP";"S-25O"
"MFSNNGYQQT";"#CMD BEVEILIGING CMG"
"MFSVQNUHLP";"520-y Otd. Zen. Rak. Bat."
"MFTHYAFPKR";"8 BRYG. ART. ARMAT"
"MFUMSADAWG";"TO-55"
"MFVTBCQKBP";"KPVT"
"MFYCRLTFAU";"This is an indicator to place the cost of the unit within its category.\n\nThe indicator #pi3{blue} indicates that the unit is in the top 25% of prices.\n\nIndicator #pi2{green} indicates that the unit is in the second highest price range.\n\nIndicator #pi1{orange} indicates that the unit is below the median price, in the third quarter of prices.\n\nIndicator #score_05{red} indicates that the unit is in the lowest price quarter.\n\n"
"MGAMVWUHBZ";"PAR 70"
"MGAPVPPXBT";"MIRAGE IV [SEAD]"
"MGBRWNRTVC";"S-8KOM"
"MGCYHPDFXF";"4-Air Defence Rgt."
"MGEDQPDHMU";"Remington 700"
"MGFFZLTMBD";"C.14B [AA1]"
"MGGHQLKNDV";"LEGIONNAIRES (APILAS)"
"MGHQMWFIVS";"M113A1 RCL"
"MGMTHXMNTT";"SD-100"
"MGNGAIXNPT";"1ste Karabiniers"
"MGRECLTOAI";"Mi-8TB"
"MHDTYUFKDU";"#RECO2 AUFKL. Mi-8TB"
"MHFMWIELFI";"ZiS-3 76,2mm"
"MHGNTMLUFT";"#CMD BMD-1KSh SOROKA"
"MHJDUQIBCF";"2A46"
"MHMWPRFFSG";"9th/12th Royal Lancers"
"MHOMRQZWMQ";"PzGrenadier-Bat. 32"
"MHQTTGGPDC";"AS.11"
"MHXSMVUROG";"M2HB 12,7mm"
"MHXXMQCHVQ";"M-240 (3O8 Nerpa)"
"MICGDOSHSK";"MiG-23MLD [AA1]"
"MICXNIFZRN";"11 pułk zmech."
